Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,81.010002,84.529999,80.364998,83.970001,83.970001,1651800
2021-03-16,84.529999,84.529999,81.139999,82.129997,82.129997,639400
2021-03-17,81.449997,83.559998,80.709999,83.209999,83.209999,661200
2021-03-18,82.459999,83.779999,80.209999,80.580002,80.580002,988500
2021-03-19,80.150002,80.495003,77.779999,78.349998,78.349998,1371200
2021-03-22,78.239998,78.940002,77.290001,77.989998,77.989998,925200
2021-03-23,77.550003,77.730003,75.110001,75.449997,75.449997,843700
2021-03-24,76.250000,78.139999,72.739998,73.489998,73.489998,1847700
2021-03-25,72.669998,76.199997,71.349998,75.790001,75.790001,1535900
2021-03-26,75.980003,77.820000,75.040001,77.620003,77.620003,984400
2021-03-29,77.309998,78.669998,74.550003,75.019997,75.019997,1241000
2021-03-30,75.000000,76.800003,74.669998,75.660004,75.660004,1020700
2021-03-31,76.379997,77.964996,75.904999,77.300003,77.300003,899700
2021-04-01,78.029999,78.910004,77.470001,78.519997,78.519997,924400
2021-04-05,80.139999,80.599998,79.330002,79.760002,79.760002,903700
2021-04-06,79.050003,82.879997,79.050003,82.199997,82.199997,1135900
2021-04-07,82.889999,83.480003,81.239998,81.480003,81.480003,888500
2021-04-08,80.910004,86.699997,80.360001,86.220001,86.220001,2947700
2021-04-09,85.879997,86.099998,84.349998,85.739998,85.739998,1355600
2021-04-12,85.519997,86.839996,84.794998,85.500000,85.500000,1240700
2021-04-13,84.910004,86.919998,83.349998,86.500000,86.500000,926800
2021-04-14,87.120003,87.550003,84.669998,85.239998,85.239998,1166900
2021-04-15,85.320000,87.800003,85.269997,86.839996,86.839996,1222900
2021-04-16,88.000000,88.540001,87.370003,88.300003,88.300003,721900
2021-04-19,88.150002,89.179001,86.680000,86.800003,86.800003,834700
2021-04-20,86.650002,87.040001,82.620003,84.059998,84.059998,827400
2021-04-21,84.180000,86.790001,84.099998,86.589996,86.589996,595300
2021-04-22,83.370003,86.660004,83.370003,84.980003,84.980003,1032200
2021-04-23,85.260002,85.400002,82.860001,83.809998,83.809998,801800
2021-04-26,85.150002,85.209999,83.050003,84.690002,84.690002,986000
2021-04-27,85.949997,87.040001,84.620003,85.059998,85.059998,723600
2021-04-28,84.989998,85.480003,83.820000,84.470001,84.470001,568200
2021-04-29,85.019997,85.260002,83.050003,83.930000,83.930000,513000
2021-04-30,83.720001,84.139999,82.620003,83.989998,83.989998,852900
2021-05-03,84.540001,84.790001,82.419998,82.500000,82.500000,1320000
2021-05-04,81.480003,81.709999,79.870003,81.610001,81.610001,1023300
2021-05-05,82.000000,82.809998,81.300003,81.389999,81.389999,751500
2021-05-06,81.339996,81.779999,79.449997,80.580002,80.580002,1549400
2021-05-07,76.370003,79.629997,76.000000,77.139999,77.139999,2156800
